id,name
885,Super Meat Boy
1331,Limbo
1384,Hotline Miami
1879,Terraria
2025,Mount & Blade: Warband
2035,Angry Birds
2042,Magicka
2132,The Binding of Isaac
2903,Warframe
3075,FTL: Faster Than Light
3251,Super Hexagon
3277,Rust
6247,Trine
7344,Ori and the Blind Forest
7444,Shovel Knight
7789,The Binding of Isaac: Rebirth
8900,Monument Valley
8925,Sunless Sea
8965,Darkest Dungeon
11182,Enter the Gungeon
11198,Rocket League
11707,Hacknet
12517,Undertale
14593,Hollow Knight
17000,Stardew Valley
18866,Dead by Daylight
21830,Catan
26226,Celeste
27134,Deep Rock Galactic
27324,The Gardens Between
30225,Kenshi
37001,Ori and the Will of the Wisps
72813,Untitled Goose Game
80529,Hades
101448,Carto
108778,Little Misfortune
109241,The Binding of Isaac: Repentance
111469,Among Us
113112,Hades
114684,Splitgate
117266,Chicory: A Colorful Tale
120045,Shing!
135243,It Takes Two
138191,The Imagined Leviathan
146641,Super Auto Pets
169412,Heal Hitler
