id,category,keywords,name,similar_games,involved_companies,platforms,release_dates,genres,themes
73817,0,"[1097, 1219, 2396, 4260, 5570]",Spy Snatcher,"[18290, 58702, 58867, 59500, 59720, 79064, 80069, 80402, 110737]",,,,,
112119,0,,Woohoojin Bridges,,,,,,
134130,0,,Astrå,,[99737],"[34, 39]","[196951, 196952]",,
21667,0,"[350, 934, 4134, 4144, 4428, 4841, 4964, 5315, 9647]",Siesta Fiesta,"[20329, 25646, 28070, 36198, 55173, 55190, 55984, 56033, 105049, 119305]",[38000],[37],"[54410, 143137, 143138]","[9, 30, 31]","[1, 27]"
172773,0,[19521],Legend Of Yashiyu 2,"[54775, 69007, 96217, 99118, 103303, 106987, 112191, 113636, 113910, 115653]",[151162],[6],[314558],[12],"[17, 27]"
123080,0,,Wizardry I・II,,,,,,
78744,0,"[1148, 4157]",Winning Post 4,"[18623, 27378, 31515, 36346, 40470, 44178, 44242, 80382, 107215]",,[8],[153586],"[10, 13]",
77377,0,,Jimmy's Soccer Manager,,,,,,
20132,0,"[25, 296, 970, 1025, 1158, 1375, 1507, 1783, 1821, 2385, 3627, 3782, 3831, 4035, 4134, 4183, 4246, 4393, 4446, 5310, 5503, 5507, 6215, 6832, 7500]",Wild Metal Country,"[11544, 11550, 13200, 17130, 24620, 27092, 55038, 57187, 68286, 68287]",,[6],[57145],"[5, 15]","[1, 18]"
148841,0,,Peg Adventure - Solo Noble,"[65827, 75948, 94741, 106992, 111043, 113895, 115850, 119788, 120028, 121309]",,,,[32],
154922,0,,孙美琪疑案：雨儿胡同,"[27266, 28277, 37419, 55282, 75948, 87514, 87975, 96217, 106992, 111130]",,[6],[297744],"[31, 32]",
8285,0,"[40, 67, 197, 215, 350, 413, 563, 575, 594, 736, 826, 966, 1027, 1079, 1202, 1219, 1375, 1416, 1735, 1834, 1846, 1935, 2052, 2324, 2337, 2416, 2542, 2957, 3203, 3794, 4130, 4138, 4166, 4169, 4186, 4187, 4316, 4343, 4363, 4375, 4418, 4422, 4432, 4571, 4581, 4590, 4591, 4594, 4619, 4630, 4725, 4753, 4756, 4829, 4880, 4940, 4988, 5006, 5109, 5186, 5268, 5362, 5426, 5461, 5488, 5621, 5684, 5714, 5765, 5775, 5858, 5963, 6117, 6235, 6408, 6539, 6957, 7048, 7085, 7155, 7214, 7348, 7382, 7643, 7653, 8109, 8114, 8175, 8205]",Teenagent,"[533, 1334, 1882, 1906, 2939, 3188, 7342, 9727, 11118, 11270]","[20232, 20234, 20235, 42992]","[3, 6, 13, 14, 16]","[23844, 23845, 23846, 23847, 23848, 23849]","[2, 31]",[27]
172774,0,,CardWirth,"[19404, 94772, 96217, 99118, 102420, 106987, 111253, 112191, 113636, 116992]",[151165],[6],[314565],"[12, 32, 35]",[17]
176473,0,,Klepto Planet Attack,"[100800, 103302, 109606, 113149, 113895, 116350, 116352, 116353, 118871, 120268]",,,,[14],[1]
